major,Agriculture,Environment and Natur,Architecture,"Area, Ethnic, and Civ",Communications,Computer and Informat,Education Administrat,Engineering,Engineering Technolog,Linguistics and Forei,Family and Consumer S,"English Language, Lit",Liberal Arts and Huma,Biology and Life Scie,Mathematics and Stati,Interdisciplinary and,"Physical Fitness, Par",Philosophy and Religi,Theology and Religiou,Physical Sciences,Psychology,Criminal Justice and,"Public Affairs, Polic",Social Sciences,Fine Arts,Medical and Health Sc,Business,History,Total
Physical Sciences,284,537,229,375,939,"3,385","1,567","8,051",357,685,54,"1,104",300,"4,020","1,772",359,778,564,75,"15,228","1,078",727,0,"4,910","1,138","1,188","8,562","1,712","59,978"
Psychology,"1,859","2,778","1,694",567,"8,103","10,600","6,375","23,018",871,985,921,"3,590","1,292","9,138","2,790","1,648","3,877","4,123","1,517","4,931","11,057","5,880","1,528","21,584","9,962","3,591","42,329","7,518","194,126"
Criminal Justice and,175,171,160,127,"1,184","1,613","1,316","2,152",277,315,146,108,612,924,424,171,613,324,49,737,459,"3,871",160,"2,096","1,016","1,179","7,569",165,"28,113"
"Public Affairs, Polic",626,244,441,460,"1,590","2,669","1,340","4,771",462,437,149,"1,163",460,"1,761",160,55,334,273,290,"1,775","1,580",794,"1,410","3,397",409,559,"10,054",480,"38,143"
Social Sciences,827,"2,248","2,661","1,039","8,185","13,321","4,094","26,221",978,920,113,"5,826","2,220","12,439","3,634","1,795","2,310","4,145",445,"7,336","8,654","3,328","2,013","37,217","9,747","2,148","41,958","8,325","214,147"
Fine Arts,909,"1,778","2,679",535,"8,854","10,573","6,164","17,134","1,083","1,097",170,"6,298","2,006","3,538","2,145",907,"2,663","1,735","1,190","3,690","3,327","2,612",544,"15,680","27,720","1,754","28,870","3,609","159,264"
Medical and Health Sc,"2,228","3,290","1,500",580,"7,952","11,840","11,383","38,484","2,884","1,235",853,"3,514","2,233","20,391","3,220","1,532","8,478","2,337","1,280","7,548","8,907","6,738","1,366","17,861","4,841","21,248","57,165","6,702","257,590"
Business,"5,059","3,719","3,686",669,"17,051","29,179","11,095","65,244","6,544","3,129",705,"7,192","2,559","17,763","5,530","1,440","7,810","1,349","2,117","9,690","10,690","10,591","1,795","41,763","10,718","7,899","168,163","8,755","461,904"
History,191,569,740,74,"1,499","2,044","1,845","4,438",125,175,63,"2,057",180,"2,595",689,235,713,"1,404",299,"1,233","1,600",899,166,"7,086","1,889",628,"8,425","3,855","45,716"
Total,"29,797","31,234","29,147","8,385","111,338","179,757","110,051","403,107","30,461","16,372","5,320","61,078","25,790","152,454","41,314","16,566","54,754","28,502","18,431","96,153","81,619","59,771","14,718","262,411","108,537","65,548","614,408","80,304","2,737,327"
